X1,Y1,X2,Y2
6,6,4971,6
6,4106,4971,4106
6,4105,6,7
857,3427,2022,3427
2362,3142,2952,3142
2362,3137,2903,3137
3140,2572,3234,2572
2144,2566,2286,2566
2823,2281,3141,2281
4562,985,4562,571
2131,3422,2727,3422
3991,3505,3991,1942
1425,1574,1425,695
3997,1458,3997,1320
1716,659,1716,433
791,2857,1820,2857
1710,3142,1710,2560
2269,2286,2702,2286
3881,3713,4409,3713
2286,3713,2286,2269
2281,2117,2281,1966
1431,1811,1431,1624
3584,1717,3712,1717
4567,923,4567,573
3136,2126,3136,1426
1889,2851,2281,2851
3663,2572,4097,2572
3141,2129,3141,1426
2948,1432,3575,1432
3957,3707,4409,3707
855,3425,855,3137
3706,2286,3706,1712
1428,2566,1802,2566
3421,1996,4600,1996
3421,2656,3421,2177
3421,2002,4599,2002
4282,1995,4282,1632
3426,2870,3426,2784
3712,2286,3712,1715
1328,1426,1716,1426
3578,1711,3707,1711
4276,1020,4276,571
4847,3176,4847,3124
3997,3505,3997,2003
860,2849,860,2488
291,2980,291,2837
2572,3713,2572,3332
2566,3011,2566,2837
576,3098,576,2725
285,2914,285,2820
4847,2584,4847,2415
1632,1147,1716,1147
855,1141,1495,1141
3426,2656,3426,2176
2281,3713,2281,2233
570,2697,570,2567
1431,1574,1431,692
1584,1717,2019,1717
1344,576,1442,576
1716,3140,1716,2541
4852,2588,4852,2447
1344,571,1476,571
1358,1711,1557,1711
285,2794,285,2520
855,1147,1495,1147
1425,2281,1854,2281
291,2798,291,2520
1146,3271,1146,3024
448,2572,657,2572
1041,856,1424,856
4847,3713,4847,3570
1140,3270,1140,3024
1856,2566,2120,2566
2232,3137,2299,3137
4074,576,4561,576
1426,2286,1854,2286
4562,2572,4562,1053
3602,3142,3752,3142
4567,2572,4567,1690
1045,861,1423,861
3635,3137,3789,3137
2566,3713,2566,3332
570,3142,570,2727
855,2370,855,2281
1781,1712,1853,1712
1494,3423,1570,3423
4851,2964,4851,2870
2617,3708,2660,3708
1583,1711,2020,1711
287,3142,1300,3142
4075,571,4566,571
572,2567,572,2483
1854,2572,2280,2572
442,2566,657,2566
855,1218,855,858
